task_id,query,task_type,standard_answer
62,找出脂肪小于1g/100g的水果,筛选检索,水果脂肪<1: 苹果(红富士)、香蕉、橘子、橙子、梨(雪花梨)、葡萄、草莓、西瓜、桃子、火龙果、芒果、猕猴桃、蓝莓、车厘子、柚子(白肉)、菠萝、龙眼、荔枝、哈密瓜、圣女果、石榴、草莓(家庭装)、橘子(家庭装)、菠萝(家庭装)
63,400g西兰花总蛋白质多少克,数值计算,西兰花 2.8g × 4 = 11.2g
64,坚果类商品单价是否普遍高于普通主食,推理问答,坚果均价=33.4元 vs 主食均价=13.6元 → 坚果均价更高
65,查询豆沙面包的类别、能量、碳水,信息抽取,(未含'豆沙面包'商品) 无匹配
66,找出单价在10~20元区间的乳制品,筛选检索,乳制品单价10~20: 光明鲜牛奶、妙可蓝多奶酪棒、总统淡奶油、马苏里拉芝士碎、旺仔牛奶(家庭装)
67,200g巧克力总能量多少kcal,数值计算,德芙牛奶巧克力 554kcal × 2 = 1108kcal
68,方便食品能量是否普遍高于生鲜蔬菜,推理问答,方便食品均值能量=425.4 vs 蔬菜均值=41.4 → 方便食品远高于蔬菜
69,查询金针菇的类别、脂肪、蛋白质,信息抽取,"金针菇 类别蔬菜, 脂肪0.4g, 蛋白质2.4g (每100g)"
70,找出能量<30kcal/100g的蔬菜,筛选检索,蔬菜能量<30: 西红柿、黄瓜、菠菜、白菜、生菜、白萝卜、茄子、青椒、芹菜、韭菜、南瓜、冬瓜、金针菇、香菇、莴笋、上海青、空心菜、油麦菜、芸豆、紫甘蓝、青椒(家庭装)、黄瓜(家庭装)、茄子(家庭装)
71,100g牛奶+100g酸奶总蛋白质,数值计算,伊利纯牛奶3.2 + 安慕希酸奶2.8 = 6g
72,茶类饮品的能量是否基本接近0,推理问答,"是, 茶/无糖茶/纯净水类能量基本为0kcal"
73,查询梨的能量、碳水、单价,信息抽取,"梨(雪花梨) 能量45kcal, 碳水11.6g, 单价4.5元"
74,找出碳水<10g/100g的水产商品,筛选检索,水产碳水<10: 草鱼、基围虾、鲫鱼、鲈鱼、带鱼、三文鱼、金枪鱼罐头、虾仁、鱿鱼、螃蟹、花蛤、生蚝、小龙虾、海带、墨鱼、鳕鱼、秋刀鱼、多宝鱼、河虾、螃蟹(家庭装)、花蛤(家庭装)、生蚝(家庭装)、鱿鱼(家庭装)
75,150g馒头总碳水多少克,数值计算,馒头 47g × 1.5 = 70.5g
76,食用油的脂肪是否接近100g/100g,推理问答,"是, 食用油脂肪均≈99.9g/100g"
77,查询速冻水饺的类别、单价、脂肪,信息抽取,"思念猪肉水饺 类别速冻食品, 单价13.8元, 脂肪8g/100g"
78,找出蛋白质大于25g/100g的坚果,筛选检索,坚果蛋白质>25: 
79,500g西瓜总碳水多少克,数值计算,西瓜 7.6g × 5 = 38g
80,糖果类商品碳水是否普遍高于主食,推理问答,糖果碳水均值=85.8 vs 主食均值=57.2 → 糖果碳水普遍更高
81,查询海苔的类别、能量、蛋白质,信息抽取,"波力海苔 类别零食, 能量420kcal, 蛋白质16g (每100g)"
82,找出单价大于15元的烘焙商品,筛选检索,烘焙单价>15: 鸡蛋仔(预拌粉)、牛角包(冷冻)、蛋糕卷(盒装)、鸡蛋仔(预拌粉)(家庭装)
83,100g鸡胸肉+100g三文鱼总蛋白质,数值计算,鸡胸肉24.6 + 三文鱼20 = 44.6g
84,水果类脂肪是否大多低于1g/100g,推理问答,"水果脂肪均值=1.7g, 多数<1g(牛油果除外)"
85,查询玉米的类别、碳水、单价,信息抽取,"玉米 类别主食, 碳水22.8g/100g, 单价3.5元"
86,找出能量在200~300kcal/100g之间的零食,筛选检索,零食能量200~300: 百草味牛肉干、百草味山楂条、百草味牛肉干(家庭装)
87,300g豆腐总蛋白质多少克,数值计算,北豆腐 9.2g × 3 = 27.6g
88,调味品的蛋白质一般很低吗,推理问答,"是, 调味品蛋白质均值低, 多数接近0(酱油、鸡精略高)"
89,查询橘子的能量、蛋白质、规格,信息抽取,"橘子 能量44kcal, 蛋白质0.7g, 规格500g/份"
90,找出脂肪>20g/100g的烘焙食品,筛选检索,烘焙脂肪>20: 好丽友蛋黄派、趣多多曲奇、康师傅3+2饼干、牛角包(冷冻)、康师傅3+2饼干(家庭装)
91,一瓶500ml矿泉水总能量多少kcal,数值计算,矿泉水 0kcal
92,杂粮主食对比精制米面，蛋白质是否更高,推理问答,杂粮(糙米/燕麦/荞麦)蛋白质普遍高于精制大米、白吐司 → 是的
93,查询带鱼的类别、脂肪、单价,信息抽取,"带鱼 类别水产, 脂肪4.9g/100g, 单价15元"
94,找出单价小于3元的饮料商品,筛选检索,饮料单价<3: 农夫山泉矿泉水、百岁山矿泉水、怡宝纯净水、娃哈哈纯净水
95,120g巧克力饼干总能量多少kcal,数值计算,奥利奥饼干 502kcal × 1.2 = 602.4kcal
96,蛋类商品能量是否低于坚果,推理问答,蛋类均值能量=165.8 vs 坚果均值=542.1 → 蛋类能量远低于坚果
97,查询全麦馒头的类别、能量、碳水,信息抽取,"全麦馒头 类别主食, 能量210kcal, 碳水40g (每100g)"
98,找出碳水大于70g/100g的糖果商品,筛选检索,糖果碳水>70: 阿尔卑斯硬糖、大白兔奶糖、徐福记软糖、旺仔QQ糖、彩虹糖、薄荷糖、麦芽糖、跳跳糖、棉花糖、棒棒糖、薄荷糖(家庭装)、徐福记软糖(家庭装)、棉花糖(家庭装)、旺仔QQ糖(家庭装)
99,250g草莓总碳水多少克,数值计算,草莓 7.1g × 2.5 = 17.75g
100,对比蔬菜、水果、饮料三类，平均能量最低是哪一类,推理问答,蔬菜均值=41.4 水果均值=67.3 饮料均值=37.8 → 饮料均值最低
