商品名称,类别,规格,单价(元),能量(kcal/100g),蛋白质(g/100g),脂肪(g/100g),碳水(g/100g)
统一冰红茶,饮料,500ml/瓶,3.5,44,0,0,11.0
汇源橙汁,饮料,1L/瓶,12.8,45,0.6,0.1,10.6
汇源桃汁,饮料,1L/瓶,12.8,46,0.5,0.1,11.0
农夫山泉NFC橙汁,饮料,300ml/瓶,9.9,48,0.7,0.2,11.0
美汁源果粒橙,饮料,450ml/瓶,4.5,48,0.2,0,11.8
王老吉凉茶,饮料,310ml/罐,4.0,25,0,0,6.2
加多宝凉茶,饮料,310ml/罐,4.0,25,0,0,6.2
红牛功能饮料,饮料,250ml/罐,6.0,45,0,0,10.4
东鹏特饮,饮料,250ml/罐,4.5,42,0,0,10.5
农夫山泉矿泉水,饮料,550ml/瓶,2.0,0,0,0,0
百岁山矿泉水,饮料,570ml/瓶,2.5,0,0,0,0
怡宝纯净水,饮料,555ml/瓶,2.0,0,0,0,0
娃哈哈纯净水,饮料,596ml/瓶,2.0,0,0,0,0
元气森林气泡水白桃,饮料,480ml/瓶,5.5,0,0,0,0
元气森林气泡水卡曼橘,饮料,480ml/瓶,5.5,0,0,0,0
喜茶轻乳茶,饮料,450ml/瓶,8.0,120,2.5,3.0,20.0
奈雪的茶鸭屎香,饮料,450ml/瓶,9.9,88,2.0,2.5,15.0
星巴克罐装拿铁,饮料,220ml/罐,8.5,52,2.0,2.0,6.0
雀巢咖啡丝滑拿铁,饮料,268ml/瓶,6.5,62,1.8,2.3,8.5
瑞幸厚乳拿铁,饮料,250ml/瓶,8.9,78,2.5,3.2,10.5
养乐多活性乳酸菌,饮料,100ml/瓶,4.5,70,1.2,0.1,15.7
脉动青柠味,饮料,600ml/瓶,4.0,22,0,0,5.3
尖叫纤维饮料,饮料,550ml/瓶,4.0,20,0,0,4.8
宝矿力水特,饮料,500ml/瓶,5.5,25,0,0,6.2
维他柠檬茶,饮料,500ml/盒,6.0,47,0.1,0.1,11.4
椰子水,饮料,330ml/罐,6.5,20,0.7,0.2,3.5
豆本豆原味豆奶,饮料,250ml/盒,4.0,48,3.0,1.8,5.0
六个核桃,饮料,240ml/罐,4.5,75,1.6,3.8,8.5
康师傅红烧牛肉面,方便食品,100g/袋,4.5,463,8.9,19.6,59.8
康师傅香辣牛肉面,方便食品,100g/袋,4.5,462,8.8,19.5,60.0
康师傅老坛酸菜面,方便食品,120g/袋,4.5,450,8.5,18.5,60.2
统一红烧牛肉面,方便食品,100g/袋,4.5,460,8.8,19.4,59.5
统一老坛酸菜面,方便食品,120g/袋,4.5,450,8.5,18.5,60.2
白象大骨汤面,方便食品,110g/袋,4.0,455,8.6,19.0,59.5
今麦郎一桶半,方便食品,110g/桶,4.5,458,8.7,19.2,59.8
汤达人日式豚骨面,方便食品,108g/盒,6.5,470,9.0,20.0,60.0
出前一丁麻油味,方便食品,100g/袋,5.5,465,8.5,20.5,59.0
合味道香辣海鲜,方便食品,78g/杯,5.5,468,8.8,20.2,59.6
螺霸王螺蛳粉,方便食品,300g/袋,13.9,310,8.5,10.0,46.0
好欢螺螺蛳粉,方便食品,300g/袋,14.9,315,8.8,10.2,45.5
自嗨锅自热米饭,方便食品,300g/盒,18.9,320,8.0,11.0,48.0
海底捞自热火锅,方便食品,400g/盒,29.9,330,9.0,12.0,45.0
康师傅鲜虾鱼板面,方便食品,100g/袋,4.5,455,8.5,19.0,59.0
阿宽红油面皮,方便食品,120g/袋,5.5,440,8.0,18.0,60.0
拉面说豚骨拉面,方便食品,190g/盒,15.9,330,9.5,10.5,48.0
五谷道场非油炸方便面,方便食品,100g/袋,4.5,410,7.5,12.0,66.0
三养火鸡面,方便食品,140g/袋,8.5,480,9.5,21.0,62.0
食族人酸辣粉,方便食品,125g/桶,8.9,430,8.0,19.0,56.0
思念猪肉水饺,速冻食品,500g/袋,13.8,220,8.0,8.0,29.0
三全牛肉水饺,速冻食品,500g/袋,15.9,215,7.5,7.8,28.5
湾仔码头猪肉水饺,速冻食品,500g/袋,19.9,230,8.5,8.5,30.0
思念汤圆黑芝麻,速冻食品,400g/袋,10.9,260,4.0,8.0,44.0
三全汤圆花生,速冻食品,400g/袋,10.5,255,3.8,7.8,43.5
湾仔码头鲜虾云吞,速冻食品,480g/袋,22.9,225,8.8,7.5,30.5
安井手抓饼,速冻食品,500g/袋(10片),12.9,300,7.0,12.0,40.0
思念春卷,速冻食品,300g/袋,9.9,280,6.0,11.0,38.0
三全灌汤包,速冻食品,450g/袋,15.9,240,8.2,9.0,30.0
皇家小虎烤肠,速冻食品,300g/袋,9.9,280,12.0,18.0,14.0
正大鸡米花,速冻食品,400g/袋,16.9,290,12.0,16.0,24.0
圣农鸡块,速冻食品,400g/袋,15.9,285,12.5,15.5,25.0
安井虾滑,速冻食品,200g/袋,19.9,150,13.0,7.0,7.0
海霸王水饺,速冻食品,500g/袋,14.9,225,8.2,8.2,29.5
湾仔码头韭菜猪肉水饺,速冻食品,500g/袋,18.9,225,8.0,8.0,29.0
三全凌汤圆,速冻食品,400g/袋,9.9,258,3.9,7.9,43.8
思念金牌虾水饺,速冻食品,500g/袋,24.9,240,9.0,8.5,31.0
必品阁王饺子,速冻食品,300g/袋,15.9,240,8.0,9.0,30.0
安井鱼豆腐,速冻食品,200g/袋,8.9,180,10.0,8.0,15.0
海欣鱼丸,速冻食品,200g/袋,9.9,175,9.5,7.5,15.5
奥利奥饼干原味,零食,116g/盒,6.5,502,4.6,20.0,75.0
奥利奥饼干巧克力味,零食,116g/盒,6.5,502,4.6,20.0,75.0
乐事薯片原味,零食,70g/袋,6.0,536,5.6,35.0,51.0
乐事薯片黄瓜味,零食,70g/袋,6.0,536,5.6,35.0,51.0
乐事薯片烧烤味,零食,70g/袋,6.0,536,5.6,35.0,51.0
可比克薯片,零食,70g/袋,5.5,530,5.4,34.0,52.0
洽洽原味瓜子,零食,98g/袋,7.9,606,22.6,53.4,12.5
洽洽焦糖瓜子,零食,108g/袋,8.5,600,21.0,52.0,16.0
三只松鼠每日坚果,零食,750g/箱,89.0,540,13.0,38.0,30.0
三只松鼠碧根果,零食,200g/袋,25.9,670,9.0,66.0,12.0
三只松鼠夏威夷果,零食,200g/袋,24.9,660,8.0,65.0,11.0
良品铺子猪肉脯,零食,100g/袋,16.9,310,24.0,8.0,32.0
良品铺子芒果干,零食,120g/袋,14.9,330,0.8,0.5,80.0
百草味牛肉干,零食,100g/袋,19.9,290,26.0,8.5,28.0
百草味山楂条,零食,150g/袋,8.9,300,0.5,0.3,74.0
德芙丝滑牛奶巧克力,零食,80g/条,11.9,554,5.8,34.2,55.6
费列罗巧克力,零食,37.5g/粒(3粒装),12.9,580,8.0,38.0,50.0
士力架花生夹心,零食,70g/条,7.5,495,8.0,25.0,60.0
旺旺雪饼,零食,84g/袋,6.5,470,4.5,15.0,80.0
旺旺仙贝,零食,84g/袋,6.5,465,5.0,14.0,79.0
徐福记沙琪玛,零食,160g/袋,9.9,480,6.0,20.0,68.0
盼盼法式软面包,零食,170g/袋,8.9,430,8.0,13.0,70.0
卫龙辣条大面筋,零食,100g/袋,3.5,490,9.0,24.0,58.0
卫龙魔芋爽,零食,120g/袋,4.5,120,2.5,1.0,22.0
三只松鼠海苔脆,零食,60g/袋,9.9,500,8.0,28.0,55.0
波力海苔,零食,27g/袋,6.5,420,16.0,5.0,75.0
盐津铺子辣条,零食,100g/袋,4.0,485,8.8,23.5,59.0
咪咪虾条,零食,20g/袋,1.5,530,6.0,30.0,60.0
上好佳鲜虾片,零食,80g/袋,5.5,520,5.5,28.0,63.0
品客薯片,零食,110g/罐,9.9,545,5.8,36.0,50.0
好丽友派,零食,276g/盒,12.5,460,4.5,18.0,70.0
格力高百醇,零食,48g/盒,6.5,520,6.0,28.0,60.0
旺仔小馒头,零食,100g/袋,4.5,440,7.0,6.0,88.0
恰恰每日坚果,零食,105g/盒,9.9,560,12.0,40.0,35.0
乳酪蛋糕(盒装),零食,100g/盒,12.9,380,6.0,20.0,45.0
馒头,主食,100g/个,1.0,223,7.0,1.1,47.0
大米(五常),主食,5kg/袋,45.0,345,7.4,0.8,77.9
东北大米,主食,10kg/袋,65.0,346,7.4,0.9,77.8
全麦面包,主食,400g/袋,9.9,246,13.0,4.0,41.0
白吐司,主食,400g/袋,8.5,268,8.5,3.5,52.0
燕麦片(即食),主食,400g/袋,12.9,367,15.0,6.7,61.0
荞麦面,主食,400g/袋,11.9,340,13.0,3.0,70.0
挂面(龙须),主食,500g/袋,5.5,355,11.5,1.5,74.0
意大利面,主食,500g/袋,9.9,350,12.0,1.5,72.0
玉米,主食,200g/根,3.5,112,4.0,1.2,22.8
红薯,主食,500g/份,3.5,90,1.6,0.2,20.7
小米,主食,500g/袋,6.5,361,9.0,3.1,75.1
糯米,主食,500g/袋,6.0,350,7.3,1.0,78.3
糙米,主食,1kg/袋,12.9,348,7.7,2.7,76.5
黑米,主食,500g/袋,9.9,341,9.4,2.5,72.2
藜麦,主食,500g/袋,29.9,368,14.1,6.1,64.2
全麦面粉,主食,1kg/袋,9.9,340,12.0,2.0,71.0
高筋面粉,主食,2.5kg/袋,15.9,366,11.0,1.5,74.0
玉米面,主食,500g/袋,5.5,365,8.7,3.8,73.0
即食鸡胸肉(水煮),主食,100g/袋,9.9,115,25.0,1.5,2.0
全麦馒头,主食,100g/个,1.5,210,8.0,1.5,40.0
杂粮煎饼,主食,100g/张,2.5,280,9.0,5.0,50.0
鸡蛋饼(冷冻),主食,400g/袋,12.9,300,8.5,12.0,40.0
速冻馒头,主食,400g/袋,8.9,220,6.8,1.0,47.0
鸡胸肉,肉类,500g/份,9.9,133,24.6,1.9,0.6
猪里脊,肉类,500g/份,15.8,155,20.2,7.9,0.7
牛腩,肉类,500g/份,32.0,216,17.0,16.0,0.4
五花肉,肉类,500g/份,16.9,568,7.7,59.0,0.9
猪排骨,肉类,500g/份,26.0,278,16.7,23.1,0.7
猪蹄,肉类,500g/份,18.0,260,22.6,18.8,0
鸡腿,肉类,500g/份,10.5,181,16.0,13.0,0
鸡翅,肉类,500g/份,13.5,194,17.4,13.6,0
鸭腿,肉类,500g/份,11.5,240,16.0,19.0,0
牛腱子,肉类,500g/份,38.0,110,20.0,3.0,1.0
牛里脊,肉类,500g/份,42.0,107,22.0,1.5,0.5
羊腿肉,肉类,500g/份,40.0,203,20.0,13.0,0
羊排,肉类,500g/份,45.0,285,18.0,24.0,0
猪耳朵,肉类,500g/份,18.0,210,20.0,14.0,0
腊肠(广式),肉类,500g/份,32.0,470,22.0,38.0,12.0
培根,肉类,500g/份,25.0,500,14.0,45.0,3.0
午餐肉,肉类,340g/罐,12.9,230,12.0,16.0,8.0
金华火腿,肉类,500g/份,88.0,320,30.0,20.0,3.0
哈尔滨红肠,肉类,500g/份,22.0,260,14.0,19.0,8.0
鸭胸肉,肉类,500g/份,12.0,133,16.0,6.0,0.5
草鱼,水产,500g/条,9.5,113,16.6,5.2,0
基围虾,水产,500g/份,29.9,101,18.2,1.4,3.9
鲫鱼,水产,500g/条,10.5,108,17.1,2.7,0.6
鲈鱼,水产,500g/条,19.9,105,18.6,3.4,0
带鱼,水产,500g/份,15.0,127,17.7,4.9,3.1
三文鱼,水产,300g/份,45.0,208,20.0,14.0,0
金枪鱼罐头,水产,185g/罐,12.9,116,26.0,1.0,0
虾仁,水产,250g/袋,22.0,93,18.0,1.0,2.0
鱿鱼,水产,500g/份,18.0,92,15.6,1.0,3.0
螃蟹,水产,500g/份,35.0,95,14.0,3.5,2.5
花蛤,水产,500g/份,8.0,62,10.0,1.1,2.8
生蚝,水产,500g/份,15.0,73,10.9,1.5,3.5
小龙虾,水产,500g/份,25.0,90,14.8,2.8,0
紫菜,水产,50g/袋,6.5,250,26.7,1.1,44.1
海带,水产,500g/份,5.0,13,1.2,0.1,2.1
墨鱼,水产,500g/份,16.0,84,15.2,0.9,2.0
鳕鱼,水产,500g/份,28.0,88,20.4,0.5,0
秋刀鱼,水产,500g/份,18.0,255,17.6,20.0,0
多宝鱼,水产,500g/份,30.0,90,16.0,2.0,0
河虾,水产,500g/份,32.0,87,16.4,2.4,0
西红柿,蔬菜,500g/份,3.5,20,0.9,0.2,3.3
黄瓜,蔬菜,500g/根,3.0,15,0.8,0.2,2.9
土豆,蔬菜,500g/份,2.5,76,2.0,0.2,17.2
西兰花,蔬菜,500g/份,6.5,34,2.8,0.4,3.6
菠菜,蔬菜,500g/份,5.0,24,2.6,0.3,2.8
白菜,蔬菜,500g/份,2.0,17,1.5,0.1,3.2
生菜,蔬菜,500g/份,4.5,13,1.3,0.3,2.0
胡萝卜,蔬菜,500g/份,3.0,39,0.9,0.2,8.8
白萝卜,蔬菜,500g/份,2.0,21,0.9,0.1,4.6
茄子,蔬菜,500g/份,3.5,21,1.1,0.2,4.9
青椒,蔬菜,500g/份,4.0,22,1.0,0.2,4.6
豆角,蔬菜,500g/份,5.5,30,2.4,0.2,5.7
芹菜,蔬菜,500g/份,3.5,20,1.2,0.2,3.9
韭菜,蔬菜,500g/份,4.5,26,2.4,0.4,3.2
洋葱,蔬菜,500g/份,3.0,40,1.1,0.2,9.0
南瓜,蔬菜,500g/份,2.5,22,0.7,0.1,5.3
冬瓜,蔬菜,500g/份,2.0,12,0.4,0.2,2.6
莲藕,蔬菜,500g/份,5.0,70,1.9,0.2,16.4
山药,蔬菜,500g/份,6.0,57,1.9,0.2,12.4
金针菇,蔬菜,300g/袋,4.5,26,2.4,0.4,6.0
香菇,蔬菜,300g/份,6.0,26,2.2,0.3,5.2
杏鲍菇,蔬菜,300g/份,5.5,35,1.3,0.1,8.3
木耳(干),蔬菜,100g/袋,12.9,265,12.1,1.5,65.6
蒜苔,蔬菜,500g/份,6.5,38,2.0,0.4,6.2
莴笋,蔬菜,500g/份,3.0,14,1.0,0.1,2.8
上海青,蔬菜,500g/份,3.0,15,1.4,0.2,2.4
空心菜,蔬菜,500g/份,4.0,20,2.2,0.3,3.6
油麦菜,蔬菜,500g/份,3.5,16,1.4,0.2,2.1
芸豆,蔬菜,500g/份,6.0,25,1.8,0.2,5.0
紫甘蓝,蔬菜,500g/份,4.5,25,1.4,0.2,6.0
苹果(红富士),水果,500g/份,6.9,52,0.2,0.2,13.7
香蕉,水果,500g/份,3.9,93,1.4,0.2,22.0
橘子,水果,500g/份,4.9,44,0.7,0.1,10.2
橙子,水果,500g/份,5.9,48,0.8,0.2,11.1
梨(雪花梨),水果,500g/份,4.5,45,0.4,0.1,11.6
葡萄,水果,500g/份,8.0,44,0.5,0.2,10.3
草莓,水果,500g/份,12.0,32,1.0,0.2,7.1
西瓜,水果,500g/份,2.5,31,0.5,0.1,7.6
桃子,水果,500g/份,6.0,42,0.9,0.1,9.9
火龙果,水果,500g/份,7.5,51,1.1,0.2,13.3
芒果,水果,500g/份,9.9,60,0.6,0.2,13.7
猕猴桃,水果,500g/份,9.0,61,0.8,0.6,14.5
蓝莓,水果,125g/盒,15.0,57,0.7,0.3,14.5
车厘子,水果,500g/份,45.0,63,1.1,0.2,16.0
柚子(白肉),水果,500g/份,5.5,42,0.8,0.2,9.5
菠萝,水果,500g/份,5.0,44,0.5,0.1,11.1
龙眼,水果,500g/份,10.0,71,1.2,0.1,16.6
荔枝,水果,500g/份,12.0,71,0.9,0.2,16.6
榴莲,水果,500g/份,35.0,150,2.6,3.3,28.3
椰子,水果,个,8.0,241,4.0,12.1,31.3
柠檬,水果,500g/份,6.5,37,1.1,1.2,6.2
哈密瓜,水果,500g/份,4.5,34,0.5,0.1,7.9
圣女果,水果,500g/份,6.0,25,1.0,0.2,5.5
牛油果,水果,个,9.9,160,2.0,14.7,8.5
石榴,水果,500g/份,7.5,73,1.4,0.2,18.7
鸡蛋(普通),蛋类,500g/盒(约8个),5.5,144,13.3,8.8,2.8
土鸡蛋,蛋类,500g/盒(约8个),9.9,145,13.5,9.0,2.6
鸭蛋,蛋类,500g/盒(约6个),8.0,180,12.6,13.0,3.1
咸鸭蛋(熟),蛋类,70g/个,2.5,190,12.7,12.7,6.3
皮蛋,蛋类,60g/个,2.0,171,14.2,10.7,4.5
鹌鹑蛋,蛋类,500g/份,12.0,160,12.8,11.1,2.1
鹅蛋,蛋类,个,6.0,196,11.1,15.6,2.8
溏心蛋(即食),蛋类,30g/个,3.5,130,12.0,8.0,1.0
海天酱油,调味品,500ml/瓶,8.0,64,5.6,0,10.0
李锦记生抽,调味品,500ml/瓶,9.9,62,5.5,0,9.8
海天生抽,调味品,500ml/瓶,8.5,63,5.5,0,10.0
老抽,调味品,500ml/瓶,8.0,60,5.0,0,10.5
中盐加碘盐,调味品,400g/袋,2.0,0,0,0,0
海天蚝油,调味品,480g/瓶,8.5,150,7.0,0.5,32.0
恒顺香醋,调味品,500ml/瓶,6.5,90,1.0,0,21.0
山西陈醋,调味品,500ml/瓶,7.5,88,1.0,0,20.5
太太乐鸡精,调味品,250g/袋,8.9,240,10.0,1.0,46.0
六月鲜豆瓣酱,调味品,500g/瓶,12.9,180,8.0,4.0,28.0
海天黄豆酱,调味品,400g/瓶,8.5,170,7.5,3.5,27.0
郫县豆瓣酱,调味品,500g/瓶,9.9,150,8.0,5.0,18.0
芝麻香油,调味品,500ml/瓶,18.0,900,0,99.9,0
花椒,调味品,100g/袋,12.0,400,10.0,8.0,60.0
干辣椒,调味品,100g/袋,10.0,350,12.0,5.0,55.0
白糖,调味品,500g/袋,4.5,400,0,0,99.9
蜂蜜,调味品,500g/瓶,25.0,320,0.4,0,80.0
番茄酱,调味品,300g/瓶,8.5,90,1.5,0.2,21.0
沙拉酱,调味品,400g/瓶,15.9,480,1.0,40.0,30.0
辣椒酱,调味品,300g/瓶,9.9,180,3.0,12.0,15.0
甜面酱,调味品,300g/瓶,7.5,200,4.0,2.0,40.0
腐乳,调味品,300g/瓶,8.0,120,8.0,5.0,10.0
八角,调味品,50g/袋,6.0,350,10.0,6.0,55.0
桂皮,调味品,50g/袋,5.0,340,8.0,5.0,60.0
五香粉,调味品,50g/袋,5.5,360,9.0,5.0,55.0
金龙鱼大豆油,食用油,900ml/瓶,12.9,899,0,99.9,0
鲁花花生油,食用油,5L/桶,119.0,899,0,99.9,0
金龙鱼调和油,食用油,5L/桶,79.9,899,0,99.9,0
福临门玉米油,食用油,5L/桶,89.9,899,0,99.9,0
胡姬花花生油,食用油,5L/桶,129.0,899,0,99.9,0
多力葵花籽油,食用油,5L/桶,79.9,899,0,99.9,0
金龙鱼菜籽油,食用油,5L/桶,75.0,899,0,99.9,0
鲁花菜籽油,食用油,5L/桶,99.9,899,0,99.9,0
橄榄油(特级初榨),食用油,500ml/瓶,59.9,899,0,99.9,0
芝麻油,食用油,500ml/瓶,18.0,900,0,99.9,0
猪油,食用油,500g/盒,15.0,897,0,99.7,0
山茶油,食用油,500ml/瓶,89.0,899,0,99.9,0
葡萄籽油,食用油,500ml/瓶,69.9,899,0,99.9,0
核桃油,食用油,500ml/瓶,99.0,899,0,99.9,0
北豆腐,豆制品,400g/盒,4.5,98,9.2,5.0,3.0
南豆腐,豆制品,400g/盒,4.0,62,6.5,3.0,2.5
内酯豆腐,豆制品,350g/盒,3.5,50,5.0,2.0,3.0
豆浆(无糖),豆制品,500ml/瓶,5.0,31,3.0,1.6,1.2
豆干,豆制品,250g/袋,6.5,140,14.0,6.0,6.0
豆腐皮,豆制品,200g/袋,8.0,409,44.6,17.4,18.6
腐竹,豆制品,250g/袋,9.9,461,44.6,21.7,22.3
油豆腐,豆制品,200g/袋,6.0,320,20.0,25.0,6.0
毛豆,豆制品,500g/份,8.0,123,13.1,5.0,10.5
纳豆,豆制品,100g/盒,6.5,190,17.7,10.0,10.0
豆豉,豆制品,200g/袋,8.0,280,20.0,12.0,25.0
日本豆腐,豆制品,400g/盒,3.5,90,3.5,5.0,6.0
素鸡,豆制品,250g/袋,5.5,120,13.0,5.0,5.0
老豆腐,豆制品,400g/盒,4.5,100,10.0,5.5,2.8
桃李醇熟切片面包,烘焙,400g/袋,9.9,270,8.5,4.0,50.0
曼可顿全麦面包,烘焙,350g/袋,11.9,250,12.0,4.5,42.0
盼盼手撕面包,烘焙,400g/袋,12.9,420,7.0,15.0,65.0
达利园法式软面包,烘焙,200g/袋,8.5,430,7.5,13.0,70.0
达利园蛋黄派,烘焙,100g/盒,6.5,440,5.0,20.0,60.0
好丽友蛋黄派,烘焙,138g/盒,9.9,450,5.5,21.0,58.0
趣多多曲奇,烘焙,144g/盒,8.5,520,6.0,27.0,62.0
康师傅3+2饼干,烘焙,100g/盒,5.5,520,6.0,27.0,63.0
苏打饼干,烘焙,200g/袋,6.5,420,9.0,10.0,75.0
鸡蛋仔(预拌粉),烘焙,500g/袋,15.9,350,8.0,5.0,65.0
手撕吐司,烘焙,200g/袋,7.5,300,8.0,9.0,48.0
牛角包(冷冻),烘焙,250g/袋,19.9,380,8.0,22.0,38.0
全麦贝果,烘焙,100g/个,6.0,250,9.0,1.5,50.0
欧包(杂粮),烘焙,200g/个,15.0,240,10.0,3.0,44.0
铜锣烧,烘焙,160g/袋,9.9,400,6.0,12.0,66.0
蛋糕卷(盒装),烘焙,200g/盒,16.9,390,6.0,18.0,52.0
华夫饼,烘焙,200g/袋,8.5,450,6.5,18.0,66.0
麻薯(预拌粉),烘焙,200g/袋,12.0,380,7.0,10.0,66.0
阿尔卑斯硬糖,糖果,100g/袋,6.5,400,0,0,99.0
大白兔奶糖,糖果,100g/袋,8.0,440,4.0,12.0,78.0
徐福记软糖,糖果,100g/袋,7.5,380,2.0,0.5,92.0
旺仔QQ糖,糖果,100g/袋,4.5,340,5.0,0,82.0
彩虹糖,糖果,100g/袋,8.5,400,0,1.0,94.0
薄荷糖,糖果,100g/袋,6.0,400,0,0,98.0
麦芽糖,糖果,250g/瓶,12.0,320,0,0,80.0
巧克力糖(散装),糖果,100g/袋,9.9,550,6.0,35.0,55.0
牛轧糖,糖果,100g/袋,12.9,450,8.0,15.0,70.0
跳跳糖,糖果,20g/袋,2.0,380,0,0,95.0
棉花糖,糖果,100g/袋,6.5,330,1.0,0,80.0
棒棒糖,糖果,10g/支,1.0,390,0,0,97.0
核桃,坚果,500g/份,25.0,646,14.9,58.8,19.1
巴旦木,坚果,500g/份,35.0,590,21.0,50.0,20.0
腰果,坚果,500g/份,38.0,553,18.2,43.8,30.2
开心果,坚果,500g/份,45.0,614,20.6,53.0,21.9
榛子,坚果,500g/份,40.0,628,15.0,60.0,17.0
夏威夷果,坚果,500g/份,45.0,718,7.9,76.0,14.0
碧根果,坚果,500g/份,42.0,691,9.2,72.0,13.0
松子,坚果,500g/份,55.0,640,13.0,60.0,14.0
瓜子仁,坚果,500g/份,20.0,615,25.0,52.0,17.0
花生米,坚果,500g/份,12.0,567,25.0,44.0,17.0
栗子,坚果,500g/份,10.0,214,4.2,0.7,46.0
桂圆干,坚果,500g/份,30.0,313,4.6,1.0,72.0
红枣(干),坚果,500g/份,20.0,276,3.2,0.5,67.8
葡萄干,坚果,500g/份,15.0,344,2.5,0.4,83.4
每日坚果(混合),坚果,105g/盒,9.9,560,12.0,40.0,35.0
伊利巧乐兹,冰淇淋,75g/支,4.0,280,3.0,15.0,33.0
蒙牛绿色心情,冰淇淋,70g/支,3.0,180,1.5,4.0,32.0
可爱多,冰淇淋,70g/支,5.5,260,3.0,14.0,30.0
和路雪梦龙,冰淇淋,78g/支,11.0,330,3.5,22.0,28.0
哈根达斯,冰淇淋,81g/杯,35.0,270,4.0,17.0,25.0
八喜,冰淇淋,90g/杯,12.0,240,3.5,14.0,26.0
中街1946,冰淇淋,75g/支,9.0,220,3.0,12.0,25.0
光明冰砖,冰淇淋,100g/块,4.5,200,3.0,9.0,27.0
东北大板,冰淇淋,90g/支,4.0,210,2.5,10.0,28.0
伊利火炬,冰淇淋,90g/支,4.5,250,3.0,13.0,30.0
雀巢八次方,冰淇淋,70g/盒,8.5,300,3.0,18.0,31.0
甜筒冰淇淋,冰淇淋,70g/支,3.5,240,3.0,11.0,31.0
古龙午餐肉,罐头速食,340g/罐,12.9,230,12.0,16.0,8.0
梅林午餐肉,罐头速食,340g/罐,13.5,235,12.5,16.5,7.5
金枪鱼罐头(水浸),罐头速食,185g/罐,11.9,116,26.0,1.0,0
八宝粥,罐头速食,360g/罐,5.5,85,2.0,0.8,17.0
黄桃罐头,罐头速食,820g/罐,12.0,85,0.5,0.1,21.0
红烧猪肉罐头,罐头速食,397g/罐,15.9,320,15.0,28.0,3.0
茄汁黄豆罐头,罐头速食,425g/罐,8.5,110,5.0,1.0,19.0
玉米粒罐头,罐头速食,425g/罐,7.5,100,3.0,1.0,20.0
梅菜扣肉罐头,罐头速食,340g/罐,16.9,300,12.0,26.0,6.0
沙丁鱼罐头,罐头速食,185g/罐,10.9,180,18.0,11.0,1.0
栗子罐头,罐头速食,350g/罐,12.9,180,2.0,0.5,40.0
即食粥(皮蛋瘦肉),罐头速食,360g/罐,5.0,75,2.5,0.5,14.0
立顿绿茶,茶酒,2g×25包,15.9,0,0,0,0
立顿红茶,茶酒,2g×25包,15.9,0,0,0,0
龙井茶,茶酒,100g/罐,88.0,300,25.0,3.0,40.0
